%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
62.0, 135226.6681464515, 187500.0, 155238.00614333228, 141081.81936524145, 66553.0567232438, 117376.14034129863, 124612.94229184894, 128394.96921240917, -0.266, 0.79, 0.524, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.727285952627166E9, 0.0, 2024-09-25 12:39:12.627
63.0, 135213.92765211198, 187500.0, 155185.45719211784, 141073.45981281518, 66518.0985949157, 117378.37551574416, 124616.63032968406, 128386.60965998289, -0.266, 0.79, 0.524, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859526301732E9, 0.0, 2024-09-25 12:39:12.630
64.0, 135221.9072248825, 187500.0, 155163.373668596, 141070.93406569172, 66511.46012681248, 117380.94596635652, 124618.75374540732, 128391.86231992989, -0.266, 0.79, 0.524, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859526331375E9, 0.0, 2024-09-25 12:39:12.633
65.0, 135243.5213617708, 187500.0, 155206.91486679495, 141081.9087722193, 66542.66316207209, 117380.38717274513, 124619.33489076316, 128387.07904661645, -0.266, 0.79, 0.524, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859526391623E9, 0.0, 2024-09-25 12:39:12.639
66.0, 135236.74878320083, 187500.0, 155242.9905823458, 141093.21875491366, 66560.03046751386, 117390.31134728329, 124612.91994010449, 128397.4055525548, -0.266, 0.79, 0.524, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859526431987E9, 0.0, 2024-09-25 12:39:12.643
67.0, 135218.28624228077, 187500.0, 155203.56210512665, 141083.8533739869, 66527.1063479312, 117392.09948683972, 124608.62840516906, 128402.56880552397, -0.266, 0.79, 0.524, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.727285952647241E9, 0.0, 2024-09-25 12:39:12.647
68.0, 135222.84599814966, 187500.0, 155163.50777906273, 141074.2421238711, 66503.65936799758, 117385.25985303639, 124610.6624139145, 128395.23743334264, -0.266, 0.79, 0.524, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859526502051E9, 0.0, 2024-09-25 12:39:12.650
69.0, 135241.48735302538, 187500.0, 155191.15688695395, 141077.28196111703, 66526.2569816419, 117374.73218139795, 124607.1084865461, 128380.90996514678, -0.266, 0.79, 0.524, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.727285952655193E9, 0.0, 2024-09-25 12:39:12.655
70.0, 135237.28522506778, 187500.0, 155244.91283236895, 141092.77172002455, 66559.29285994683, 117388.41144900459, 124607.77903887976, 128400.33363107845, -0.264, 0.794, 0.532, 192.0, 247.0, 192.0, 24.0, 208.0, 16.0, 160.0, 0.0, 0.0, 0.0, 1.7272859526582196E9, 0.0, 2024-09-25 12:39:12.658
71.0, 135216.3192887687, 187500.0, 155214.380349443, 141083.8533739869, 66533.18602242303, 117387.51737922638, 124604.00159406682, 128405.18395962525, -0.264, 0.794, 0.532, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7272859526622183E9, 0.0, 2024-09-25 12:39:12.662
